PID,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,Cond,attencheck1,attencheck2,self-admit,taskloadeffort_1,taskloadeffort_9,taskloadeffort_10,taskloadeffort_11,taskloadeffort_12,taskloadeffort_13,taskloadeffort_14,taskloadeffort_15,taskloadeffort_16,taskloadnothing_1,taskloadnothing_9,taskloadnothing_10,taskloadnothing_11,taskloadnothing_12,taskloadnothing_13,taskloadnothing_14,taskloadnothing_15,taskloadnothing_16,nfc_1,nfc_2,nfc_3,nfc_4,nfc_5,nfc_6,nfc_7,nfc_8,nfc_9,nfc_10,nfc_11,nfc_12,nfc_13,nfc_14,nfc_15,nfc_16,nfc_17,nfc_18,bps_1,bps_2,bps_3,bps_4,bps_5,bps_6,bps_7,bps_8,moe_1,moe_2,moe_3,moe_4,moe_5,moe_6,moe_7,moe_8,moe_9,moe_10,moe_11,moe_12,moe_13,moe_14,moe_15,moe_16,moe_17,moe_18,SDS_1,SDS_2,SDS_3,SDS_4,SDS_5,SDS_6,SDS_7,SDS_8,SDS_9,SDS_10,SDS_11,SDS_12,SDS_13,SDS_14,SDS_15
192,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,Lowpay,Green,Blue,No,1.5,4.13,0.07,0.48,2.64,1.9,0.35,2,0.42,0,2.6,0,0,4.96,0,0,0,0,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Strongly,Agree Strongly,Disagree Strongly,Agree Somewhat,Agree Strongly,Agree Strongly,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Neither agree nor disagree,Disagree,Agree,Somewhat agree,Disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
193,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,Highpay,Green,Blue,No,4.58,0.62,0.68,0.59,2.88,4.57,0.55,0.89,4.69,0.56,0.25,0.54,0.47,7,0.68,0.73,0.42,0.59,Agree Strongly,Agree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Disagree Strongly,Agree Strongly,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree
194,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,Highpay,Yellow,Blue,No,4.02,1.77,1.94,3.15,5.53,2.36,1.23,1.99,1.63,2.11,1.31,2.01,2.18,5.52,2.17,1.18,1.18,1.06,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Strongly,Agree Somewhat,Disagree Somewhat,Disagree Strongly,Agree Somewhat,Disagree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Highpay,Green,Blue,Yes,0.92,4.95,0,1.83,7,0.75,0.81,0.83,0,0,7,0,2.06,7,0,0.96,0.03,0,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree
196,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,Lowpay,Green,Blue,Yes,2,5.26,0.62,0.89,6.14,0.96,0.81,0.82,0.66,0.56,3.06,0.56,0.64,7,0,0.98,0,0.57,Agree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Strongly,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
197,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,Highpay,Green,Blue,No,1.99,1.15,0.01,3.06,4.04,1.19,0.11,0,1.01,0.16,0.21,0.16,0.14,0.15,0.17,0.15,0.12,0.36,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Disagree Somewhat,Disagree Strongly,Agree Strongly,Agree Strongly,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Disagree Strongly,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Strongly,Disagree Somewhat,Agree Somewhat,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree
198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Lowpay,Green,Blue,No,0.02,0.26,0.05,0.15,0.02,0.16,0.19,0.14,0.04,1.73,3,1.33,2,1.28,2.72,3.71,3.38,2.41,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,
199,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highpay,Green,Blue,Yes,0.92,5.01,0,0.36,7,0.22,1.81,0.59,1.02,0.84,3,0.11,1.33,7,0.21,0.74,0.48,0.72,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Strongly,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Agree Strongly,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Agree Strongly,Agree Strongly,Agree Somewhat,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree
200,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,Highpay,Green,Blue,No,1.07,2.98,2.21,1.03,6.05,1,2.2,1.07,3.21,0.22,1.42,0.22,0.12,6.82,0.19,0.22,0.26,0.9,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
201,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,Lowpay,Green,Blue,Yes,1.83,7,0.08,0.08,7,0.97,0.94,0.08,0.08,0.08,6.17,0.08,0.08,7,0.08,0,0.08,0.08,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Disagree Strongly,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Disagree Strongly,Agree Somewhat,Agree Strongly,Disagree Strongly,Agree Somewhat,Agree Strongly,Agree Somewhat,Neither Agree nor Disagree,Disagree Strongly,Agree Somewhat,Disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree
202,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,Highpay,Green,Blue,No,0.07,0,0.07,0.16,6.9,0.59,0.85,0.07,5.14,0.01,0.07,0.07,0.07,7,0.07,0.07,0.07,5.18,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
203,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highpay,Green,Blue,No,1.76,5.37,2,1.3,4,2.79,3.15,0.76,1.97,2.04,7,1.73,1.02,2.89,2.2,1.05,3,1.96,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
204,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,Lowpay,Green,Blue,No,2.87,1.78,0.78,0.82,7,2.89,0.43,0,0,3.98,6.17,2.45,0.38,7,0.29,5.1,4,0,Agree Strongly,Agree Strongly,Disagree Strongly,Disagree Strongly,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Disagree Strongly,Agree Somewhat,Agree Strongly,Disagree Strongly,Agree Somewhat,Agree Strongly,Neither Agree nor Disagree,Agree Strongly,Disagree Strongly,Agree Somewhat,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree
205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,Highpay,Green,Blue,No,7,1.4,7,0.77,7,7,4.86,0.44,1.27,7,1.25,7,1.01,7,7,2.98,0.85,1.33,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Strongly,Agree Strongly,Agree Strongly,Disagree Somewhat,Agree Strongly,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Strongly,Disagree Somewhat,Disagree,Strongly disagree,Disagree,Somewhat disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree
206,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,Highpay,Green,Blue,Yes,4.13,1.85,0.07,2.2,6.13,5.05,0.12,0.07,0.25,0.07,6.09,0.07,0.07,6.97,0.16,0.07,0.07,0.07,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Disagree Strongly,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Disagree Strongly,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Strongly,Disagree Somewhat,Strongly agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree
207,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Lowpay,Green,Blue,No,0.79,5.24,0.69,2.94,7,0.81,0.07,0.07,3.01,0.3,5.17,0.07,0.07,7,0.07,0.07,0.07,0.89,Neither Agree nor Disagree,Agree Somewhat,Disagree Strongly,Disagree Strongly,Disagree Strongly,Neither Agree nor Disagree,Disagree Somewhat,Disagree Strongly,Neither Agree nor Disagree,Agree Strongly,Agree Strongly,Disagree Strongly,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Strongly,Disagree Strongly,Agree Strongly,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree
208,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,Highpay,Green,Blue,No,2.55,4.55,2.77,2.54,7,5.95,2.8,1.92,4.55,4.39,2.95,1.5,4.45,5.69,4.35,3.06,2.04,4.45,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
209,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,Highpay,Green,Blue,Yes,1.78,4.01,3.16,2.78,6.32,2.05,0.83,0.87,5.52,0.97,6.98,0.07,3.08,6.69,0.01,1.05,0,6.04,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
